PortSummaryTable [port_name=DBH, ticker=RELIANCINS, share_quantity=1100.0, cost_price=942.0, source_date=2010-06-12, portfoli_value=1036200.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=RENATA, share_quantity=1237.0, cost_price=9996.54, source_date=2010-06-12, portfoli_value=1.236572593E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=RNSPIN, share_quantity=2475.0, cost_price=90.91, source_date=2010-06-12, portfoli_value=225000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SALAMCRST, share_quantity=400.0, cost_price=719.31, source_date=2010-06-12, portfoli_value=287725.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SANDHANINS, share_quantity=150.0, cost_price=3818.67, source_date=2010-06-12, portfoli_value=572800.48, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SAPORTL, share_quantity=300.0, cost_price=2294.67, source_date=2010-06-12, portfoli_value=688400.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SHAHJABANK, share_quantity=325.0, cost_price=361.17, source_date=2010-06-12, portfoli_value=117379.12, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SINGERBD, share_quantity=75.0, cost_price=3533.33, source_date=2010-06-12, portfoli_value=265000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SINOBANGLA, share_quantity=30000.0, cost_price=50.54, source_date=2010-06-12, portfoli_value=1516200.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SQUARETEXT, share_quantity=23000.0, cost_price=98.58, source_date=2010-06-12, portfoli_value=2267400.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SQURPHARMA, share_quantity=17554.0, cost_price=3661.8, source_date=2010-06-12, portfoli_value=6.427921584E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SUMITPOWER, share_quantity=23700.0, cost_price=1325.62, source_date=2010-06-12, portfoli_value=3.1417272E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=TAKAFULINS, share_quantity=920.0, cost_price=556.52, source_date=2010-06-12, portfoli_value=512000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=TITASGAS, share_quantity=110550.0, cost_price=759.4, source_date=2010-06-12, portfoli_value=8.395214E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=TRUSTBANK, share_quantity=280.0, cost_price=360.25, source_date=2010-06-12, portfoli_value=100869.12, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=UNIONCAP, share_quantity=75000.0, cost_price=114.48, source_date=2010-06-12, portfoli_value=8585700.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=UTTARABANK, share_quantity=187.0, cost_price=953.08, source_date=2010-06-12, portfoli_value=178226.06, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=UTTARAFIN, share_quantity=2375.0, cost_price=1933.61, source_date=2010-06-12, portfoli_value=4592330.3, current_price=0.0]

