PortSummaryTable [port_name=DBH, ticker=NORTHRNINS, share_quantity=152.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=OIMEX, share_quantity=12438.5, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=OLYMPIC, share_quantity=-15040.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PADMAOIL, share_quantity=-5000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PHOENIXFIN, share_quantity=202.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PREMIERCEM, share_quantity=30595.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PSBCUF1, share_quantity=299400.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PTL, share_quantity=250.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PUBALIBANK, share_quantity=10950.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=QSMDRYCELL, share_quantity=2000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=QUEENSOUTH, share_quantity=13772.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=RENATA, share_quantity=76074.6, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=RNSPIN, share_quantity=68000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=RUPALILIFE, share_quantity=1000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SAIHAMTEX, share_quantity=-1700.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SALAMCRST, share_quantity=5000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SAPORTL, share_quantity=70062.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SEBL1STMF, share_quantity=1500000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SHAHJABANK, share_quantity=50037.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SHURWID, share_quantity=-46500.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SINGERBD, share_quantity=-190.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SQUARETEXT, share_quantity=166061.7, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SQURPHARMA, share_quantity=526876.05, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=SUMITPOWER, share_quantity=21200.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=TAKAFULINS, share_quantity=237.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=TITASGAS, share_quantity=-30000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=TRUSTBANK, share_quantity=-100000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=TRUSTBANKBOND, share_quantity=2.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=UCB, share_quantity=51000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=UNICORN, share_quantity=110000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=UNIONCAP, share_quantity=-280000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=UNIQUEHRL, share_quantity=-590000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=UNITEDAIR, share_quantity=34.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=UNITEDINS, share_quantity=30.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=VIPBUF, share_quantity=1100000.0, cost_price=250.48, source_date=2018-04-02, portfoli_value=0.0, current_price=0.0]

